tag	ja	dictionary_section	post_count	source	wildcard_include
hetero	男女カプ	SEX/体位	746867	prompt_dictionary.tsv	0
sex	中出し	SEX/体位	368498	prompt_dictionary.tsv	0
vaginal	挿入	SEX/体位	269269	prompt_dictionary.tsv	0
on_side	脇腹を下にして横たわるポーズ	座る/横になる / SEX/体位	117048	prompt_dictionary.tsv	1
sex_from_behind	バック	SEX/体位	98663	prompt_dictionary.tsv	1
straddling	座位	SEX/体位	95304	prompt_dictionary.tsv	1
bent_over	立ちバック	身体全体に関するポーズ/向き/体勢 / SEX/体位	80096	prompt_dictionary.tsv	1
anal	アナル	SEX/体位 / 性的なポーズ	69902	prompt_dictionary.tsv	0
cowgirl_position	騎乗位	SEX/体位	56590	prompt_dictionary.tsv	1
clothed_sex	着衣SEX	SEX/体位 / 様々なプレイ・シチュエーション	50460	prompt_dictionary.tsv	0
after_sex	事後、行為後	性的な表情 / SEX/体位	48987	prompt_dictionary.tsv	0
missionary	正常位	SEX/体位	45342	prompt_dictionary.tsv	1
legs_up	まんぐり返し	脚/足に関するポーズ / SEX/体位	45039	prompt_dictionary.tsv	1
doggystyle	バック	SEX/体位	40051	prompt_dictionary.tsv	1
top-down_bottom-up	突き出し	SEX/体位	27055	prompt_dictionary.tsv	1
standing_sex	立位	SEX/体位	21130	prompt_dictionary.tsv	1
happy_sex	ハッピーSEX	SEX/体位	20449	prompt_dictionary.tsv	0
imminent_penetration	SEX直前	SEX/体位	20182	prompt_dictionary.tsv	0
folded	まんぐり返し	SEX/体位	16498	prompt_dictionary.tsv	1
reverse_cowgirl_position	逆騎乗位	SEX/体位	11810	prompt_dictionary.tsv	1
boy_on_top	正常位	SEX/体位	10321	prompt_dictionary.tsv	1
upright_straddle	対面座位	SEX/体位	7340	prompt_dictionary.tsv	1
prone_bone	寝バック	SEX/体位	6075	prompt_dictionary.tsv	1
mating_press	種付けプレス	SEX/体位	5780	prompt_dictionary.tsv	1
full_nelson	フルネルソン	SEX/体位	4479	prompt_dictionary.tsv	1
69	69体位		3447	prompt_dictionary.tsv	1
spooning	側位	SEX/体位	3170	prompt_dictionary.tsv	1
suspended_congress	駅弁	SEX/体位	2974	prompt_dictionary.tsv	1
just_the_tip	挿入寸前	SEX/体位	2178	prompt_dictionary.tsv	0
legs_over_head	まんぐり返し	SEX/体位	1822	prompt_dictionary.tsv	1
guided_penetration	挿入を導く	SEX/体位	1720	prompt_dictionary.tsv	0
amazon_position	アマゾン体位	SEX/体位	1404	prompt_dictionary.tsv	1
anal_intercourse	アナル挿入	SEX/体位	0	prompt_dictionary.tsv	0
